"country","iso2c","iso3c","year","deuda_gob","crecimiento_pbi","pbi_p_c","apertura","formacion_bruta_capital","consumo_gobierno","interes_real","inflacion","poblacion","region","income"
"Afghanistan","AF","AFG",1990,NA,NA,NA,NA,NA,NA,NA,NA,1.43458821147838,"South Asia","Low income"
"Afghanistan","AF","AFG",1991,NA,NA,NA,NA,NA,NA,NA,NA,1.59132588364829,"South Asia","Low income"
"Afghanistan","AF","AFG",1992,NA,NA,NA,NA,NA,NA,NA,NA,8.15641941048095,"South Asia","Low income"
"Afghanistan","AF","AFG",1993,NA,NA,NA,NA,NA,NA,NA,NA,11.8072591071712,"South Asia","Low income"
"Afghanistan","AF","AFG",1994,NA,NA,NA,NA,NA,NA,NA,NA,8.38872960212999,"South Asia","Low income"
"Afghanistan","AF","AFG",1995,NA,NA,NA,NA,NA,NA,NA,NA,4.89368011973163,"South Asia","Low income"
"Afghanistan","AF","AFG",1996,NA,NA,NA,NA,NA,NA,NA,NA,4.00540467357125,"South Asia","Low income"
"Afghanistan","AF","AFG",1997,NA,NA,NA,NA,NA,NA,NA,NA,3.80450803445817,"South Asia","Low income"
"Afghanistan","AF","AFG",1998,NA,NA,NA,NA,NA,NA,NA,NA,3.7646866376293,"South Asia","Low income"
"Afghanistan","AF","AFG",1999,NA,NA,NA,NA,NA,NA,NA,NA,3.72811603964771,"South Asia","Low income"
"Afghanistan","AF","AFG",2000,NA,NA,308.318269746638,NA,NA,NA,NA,NA,1.21217597601851,"South Asia","Low income"
"Afghanistan","AF","AFG",2001,NA,-9.4319740700862,277.118051443941,NA,NA,NA,NA,-11.7745360319214,0.762004896898895,"South Asia","Low income"
"Afghanistan","AF","AFG",2002,NA,28.6000011706788,338.139973643387,NA,NA,NA,NA,6.12552202910163,5.25202958527833,"South Asia","Low income"
"Afghanistan","AF","AFG",2003,NA,8.83227780288267,346.071627096223,NA,NA,NA,NA,11.655238221181,6.14519400188515,"South Asia","Low income"
"Afghanistan","AF","AFG",2004,NA,1.41411799339429,338.637273888197,NA,NA,NA,NA,11.2714320572149,3.57583485398158,"South Asia","Low income"
"Afghanistan","AF","AFG",2005,NA,11.2297148272859,363.640141436773,NA,NA,NA,NA,10.9127735503048,3.51921696042587,"South Asia","Low income"
"Afghanistan","AF","AFG",2006,NA,5.35740324748592,367.75831169358,NA,NA,NA,10.0468971030039,7.19975129292388,4.09270201656348,"South Asia","Low income"
"Afghanistan","AF","AFG",2007,NA,13.8263195471281,410.757728879097,NA,NA,NA,-3.58511111025937,22.5277562007029,1.8925975396006,"South Asia","Low income"
"Afghanistan","AF","AFG",2008,NA,3.92498381999467,417.647282647498,NA,NA,NA,12.5579601438018,2.09628875042125,2.18654618162979,"South Asia","Low income"
"Afghanistan","AF","AFG",2009,NA,21.3905283926492,488.830652491949,NA,NA,NA,17.5429289286094,-2.16340442746143,3.64638090813246,"South Asia","Low income"
"Afghanistan","AF","AFG",2010,NA,14.3624414710737,542.871030476037,NA,NA,NA,11.3640937396778,3.81463031545211,2.93468670173474,"South Asia","Low income"
"Afghanistan","AF","AFG",2011,NA,0.426354776777345,525.42698276582,NA,NA,NA,-1.24150601267893,16.5933467401627,3.69150308391849,"South Asia","Low income"
"Afghanistan","AF","AFG",2012,NA,12.7522870926697,568.929021458341,NA,NA,NA,7.17438724753763,7.30175646760432,4.04786256315645,"South Asia","Low income"
"Afghanistan","AF","AFG",2013,NA,5.60074465863221,580.603833333096,NA,NA,NA,9.78449594177918,4.82278547876986,3.41822667584596,"South Asia","Low income"
"Afghanistan","AF","AFG",2014,NA,2.72454336219565,575.146245808546,NA,NA,NA,14.3516893380043,0.56694454253261,3.63251884652008,"South Asia","Low income"
"Afghanistan","AF","AFG",2015,NA,1.45131466066431,565.569730408751,NA,NA,NA,12.2525481629518,2.44756300147404,3.11995924146907,"South Asia","Low income"
"Afghanistan","AF","AFG",2016,NA,2.26031420279821,563.872336723147,NA,NA,NA,17.5839381624543,-2.19752646733461,2.53571991833963,"South Asia","Low income"
"Afghanistan","AF","AFG",2017,NA,2.6470032027451,562.769574140988,NA,NA,NA,12.1411782989064,2.40365618765746,2.80833730805469,"South Asia","Low income"
"Afghanistan","AF","AFG",2018,NA,1.18922812944517,553.125151688293,NA,NA,NA,NA,2.07134857783487,2.91080959861384,"South Asia","Low income"
"Afghanistan","AF","AFG",2019,NA,3.91160341625552,557.861533207459,NA,NA,NA,NA,6.52147984832531,2.98438913621969,"South Asia","Low income"
"Afghanistan","AF","AFG",2020,NA,-2.35110067203466,527.834554499306,46.7098945514103,11.4556283331357,22.1092193573017,NA,6.9629462552564,3.15360920291972,"South Asia","Low income"
"Afghanistan","AF","AFG",2021,NA,-20.7388393676343,408.625855217403,51.4117163747271,12.9867036666422,21.2623843883974,NA,2.83899625081041,2.35609779179185,"South Asia","Low income"
"Afghanistan","AF","AFG",2022,NA,-6.24017199240269,377.665627080705,72.8854696086536,16.6684717100358,21.8454919236646,NA,9.40623933931322,1.43570437048699,"South Asia","Low income"
